brand,mileage,fuel_type,transmission,accident,clean_title,price,hp,engine_displacement,is_v_engine,age
Ford,95000,1,0,0,1,43000.0,275.0,3.7,1,7
Ford,25240,2,0,1,0,39951.0,335.81672025723475,2.3,0,4
Volvo,88300,2,0,1,1,11500.0,235.0,3.2,0,14
Chevrolet,98000,1,0,1,1,27499.0,320.0,5.3,0,12
Audi,20675,2,3,0,1,76000.0,400.0,2.5,0,7
Lincoln,95000,2,0,0,1,10900.0,300.0,5.4,0,17
Hyundai,107000,2,0,1,1,6250.0,138.0,2.0,0,15
Audi,60000,2,3,1,1,24700.0,354.0,3.0,1,9
Mitsubishi,33000,2,2,0,1,34999.0,291.0,2.0,0,13
Tesla,500,4,0,0,1,60000.0,455.0,3.5,0,2
Mercedes-Benz,108500,2,0,0,1,63500.0,523.0,6.0,0,9
Mercedes-Benz,74422,2,0,0,0,44798.0,357.05725190839695,4.7,0,7
Chevrolet,55621,2,0,0,0,34562.0,362.9957627118644,3.6,1,6
Mazda,46707,2,0,1,1,32541.0,188.17948717948718,2.5,0,4
Ford,26500,2,0,0,1,65900.0,440.0,3.5,1,3
Nissan,10001,2,0,0,1,47214.0,294.6774193548387,5.6,1,5
Lexus,19050,2,0,0,1,76900.0,383.0,5.7,0,6
Chevrolet,52000,2,0,0,1,35800.0,310.0,3.6,1,5
Mercedes-Benz,65000,0,0,1,1,54999.0,188.0,3.0,1,11
BMW,140000,2,3,0,1,6730.0,225.0,3.0,0,21
Ford,75600,2,0,1,1,14950.0,181.0,1.5,0,7
Lincoln,117292,2,0,0,1,12000.0,240.0,2.0,0,10
Genesis,26000,2,3,0,1,33600.0,420.0,5.0,0,8
Ford,15629,2,2,0,0,61900.0,335.81672025723475,5.8,1,11
Saturn,15020,2,0,0,1,18500.0,173.0,2.4,0,17
Toyota,50361,2,0,0,0,65998.0,264.74691358024694,5.7,0,9
Mercedes-Benz,115000,2,3,1,1,36000.0,429.0,4.6,0,12
Porsche,28500,2,2,0,1,63500.0,355.0,3.8,0,20
Mercedes-Benz,51700,2,3,0,1,32000.0,375.0,2.0,0,7
Ford,148949,2,0,0,1,3900.0,263.0,3.5,1,17
BMW,39300,2,0,1,1,31750.0,320.0,3.0,0,7
Honda,82323,2,2,0,1,28500.0,237.0,2.2,0,17
Acura,3574,2,1,0,0,34998.0,256.5952380952381,1.5,0,2
Ford,109357,2,0,0,1,12749.0,310.0,6.8,0,24
Mercedes-Benz,46000,2,0,0,1,18853.0,302.0,5.0,0,21
INFINITI,37100,2,2,0,1,16900.0,306.0,3.5,1,18
Volkswagen,89000,2,2,0,1,14500.0,210.0,2.0,0,9
Dodge,1240,2,0,0,0,53900.0,376.2916666666667,6.4,1,3
Lincoln,67073,2,0,1,1,47999.0,450.0,3.5,1,6
Maserati,28700,2,0,0,0,24900.0,404.0,3.0,1,10
Ford,98995,2,0,0,0,34998.0,335.81672025723475,3.5,0,7
Volkswagen,123815,2,0,0,1,5000.0,283.0,3.6,1,13
Toyota,61341,2,0,1,0,34084.0,264.74691358024694,3.5,1,5
Honda,96473,2,0,0,0,15599.0,209.40425531914894,2.0,0,9
Jeep,66107,2,0,0,0,31331.0,252.40404040404042,3.6,1,8
Land,114287,2,0,0,1,9900.0,400.0,4.2,0,17
Acura,75000,2,0,0,1,14500.0,150.0,2.0,0,10
BMW,45800,2,0,0,0,36800.0,560.0,4.4,0,9
BMW,70582,2,0,1,1,35000.0,300.0,3.0,0,9
Porsche,33088,2,0,0,1,49750.0,325.0,3.4,0,11
Lincoln,1850,3,1,0,1,49000.0,266.0,2.5,0,4
Cadillac,94155,2,0,0,1,10500.0,275.0,4.6,0,17
Cadillac,25000,2,0,0,1,17999.0,335.0,3.6,1,9
GMC,99500,2,0,0,1,27995.0,355.0,5.3,0,9
INFINITI,158564,2,0,0,1,8750.0,328.0,3.7,1,16
Ford,20000,2,0,0,1,78499.0,310.0,3.5,1,2
Cadillac,46711,2,0,1,1,20850.0,304.0,3.6,1,7
Nissan,46496,2,0,0,1,41000.0,375.0,5.6,0,8
Mercedes-Benz,19800,2,0,0,1,53800.0,362.0,3.0,1,6
Toyota,175000,2,0,1,1,37900.0,381.0,5.7,0,17
Toyota,61500,2,0,0,1,63500.0,381.0,5.7,0,9
RAM,49750,2,0,0,1,65000.0,280.0,3.6,1,9
Lincoln,83765,2,0,0,1,8995.0,263.0,3.5,1,14
Alfa,1966,2,0,0,0,75900.0,336.25,2.9,1,3
Chevrolet,50648,2,0,0,0,23995.0,362.9957627118644,1.2,0,4
INFINITI,60058,2,0,1,1,15000.0,328.0,3.7,1,12
Maserati,54423,2,0,0,1,33950.0,424.0,3.0,1,8
Toyota,24001,2,0,0,0,47498.0,264.74691358024694,3.5,1,3
Nissan,14735,2,0,0,0,50998.0,294.6774193548387,5.6,0,3
Audi,2425,3,0,0,0,42998.0,318.83125,2.0,0,2
Lincoln,64855,2,0,0,1,46995.0,450.0,3.5,1,6
Mercedes-Benz,16238,2,0,0,1,62479.0,329.0,2.0,0,3
RAM,18051,2,0,0,1,47995.0,377.1296296296296,5.7,1,3
Lincoln,36524,2,0,0,1,14900.0,239.0,4.6,0,21
Acura,14896,2,3,0,0,39998.0,256.5952380952381,2.0,0,3
Toyota,14048,3,0,0,0,29999.0,264.74691358024694,2.5,0,3
Mercedes-Benz,80581,2,3,0,1,26000.0,402.0,4.7,0,11
Mazda,81400,2,2,1,1,11000.0,166.0,2.0,0,18
Porsche,6700,2,0,0,1,63000.0,300.0,2.0,0,6
Ford,143000,2,0,0,1,22500.0,275.0,3.7,1,10
Kia,87842,2,0,0,1,18688.0,230.45454545454547,2.0,0,8
INFINITI,116451,2,2,0,1,16500.0,328.0,3.7,1,15
Nissan,53677,2,0,0,1,27900.0,390.0,5.6,0,6
Audi,12000,3,0,0,1,77500.0,444.0,2.9,1,4
Land,20034,2,0,0,0,43998.0,381.03921568627453,3.0,0,6
Ford,32000,0,0,0,1,68000.0,210.0,2.0,0,5
INFINITI,70312,2,0,0,1,19995.0,330.0,3.7,1,11
Jeep,8794,2,0,0,1,54000.0,285.0,3.6,1,3
Lincoln,156000,2,0,1,1,5900.0,265.0,3.5,1,15
Mercedes-Benz,67100,2,3,1,1,34250.0,362.0,3.0,1,7
Porsche,52000,2,3,1,1,37000.0,275.0,2.7,0,11
Acura,137200,2,3,0,1,12000.0,300.0,3.7,1,14
Volkswagen,36000,2,0,1,1,32000.0,292.0,2.0,0,7
Kia,15500,2,1,1,1,24500.0,147.0,2.0,0,2
Lincoln,49814,2,0,0,0,26545.0,322.97727272727275,2.0,0,6
BMW,846,3,0,0,1,86999.0,357.0,1.5,0,10
Toyota,67039,2,0,0,0,34645.0,264.74691358024694,3.5,1,4
Mazda,2636,2,0,0,0,28535.0,188.17948717948718,2.5,0,2
Porsche,50166,2,0,1,1,43550.0,377.58787878787876,3.6,1,7
Lincoln,37375,2,0,0,1,27500.0,400.0,3.0,1,8
Tesla,21600,4,0,0,1,31000.0,271.0,3.5,0,4
Porsche,9500,2,0,1,1,69000.0,350.0,2.5,0,6
Chevrolet,143095,2,0,0,1,16000.0,400.0,6.0,0,20
Acura,80000,2,2,1,1,8500.0,200.0,2.0,0,23
Porsche,5856,2,2,0,1,45000.0,295.0,3.4,0,18
Audi,28927,2,0,0,0,74900.0,318.83125,4.0,1,3
Honda,14442,2,0,0,1,38500.0,280.0,3.5,1,4
Mercedes-Benz,64000,2,0,0,1,12995.0,302.0,5.0,0,20
Lexus,154000,2,0,1,1,10000.0,235.0,4.7,0,21
Lexus,54000,2,0,0,1,27000.0,235.0,2.0,0,10
Maserati,25721,2,0,0,1,52645.0,411.8888888888889,3.0,1,5
Land,20927,2,0,0,0,35998.0,381.03921568627453,2.0,0,5
Audi,9325,2,0,0,0,33610.0,318.83125,2.0,0,3
Ford,61001,2,0,1,1,28616.0,335.81672025723475,2.3,0,5
Mercedes-Benz,71962,2,0,0,1,46900.0,469.0,4.0,0,7
Subaru,5800,2,2,0,1,29990.0,228.0,2.4,0,2
BMW,40080,2,0,0,1,28499.0,315.0,3.0,0,9
Kia,57000,2,0,1,1,36500.0,365.0,3.3,1,5
Chevrolet,7624,2,0,0,1,31985.0,362.9957627118644,5.3,0,3
Subaru,122000,2,2,1,1,9999.0,210.0,2.5,0,21
Kia,459,2,0,0,0,36998.0,230.45454545454547,2.5,0,2
BMW,62500,2,0,1,1,40500.0,425.0,3.0,0,9
Hyundai,72000,2,0,0,1,17500.0,429.0,5.0,0,12
Mercedes-Benz,8375,2,0,0,0,69900.0,357.05725190839695,2.0,0,5
BMW,40000,2,3,0,1,53000.0,523.0,4.4,0,5
Subaru,77000,2,2,1,1,30000.0,305.0,2.5,0,11
Mazda,35902,2,0,0,0,22966.0,188.17948717948718,2.5,0,5
Hyundai,800,2,3,0,1,9800.0,132.0,1.6,0,12
Land,6204,3,0,0,0,79998.0,381.03921568627453,3.0,0,2
Kia,69185,2,0,0,0,37405.0,230.45454545454547,3.8,1,5
Maserati,45000,2,0,0,1,41900.0,454.0,4.7,0,10
BMW,37426,2,0,0,0,39998.0,360.47076923076924,2.0,0,5
INFINITI,137000,2,3,1,1,8500.0,420.0,5.6,0,14
Mazda,85000,4,0,1,1,18500.0,188.17948717948718,2.5,0,9
Chevrolet,4000,2,0,1,1,73900.0,490.0,6.2,0,2
Audi,4648,3,0,0,0,47598.0,318.83125,2.0,0,2
Lexus,52100,2,0,0,1,38000.0,301.0,4.6,0,7
BMW,50100,2,0,0,1,10795.0,240.0,2.0,0,11
Alfa,41000,2,0,0,1,32400.0,280.0,2.0,0,5
RAM,70968,2,0,0,1,34000.0,395.0,5.7,0,4
BMW,26600,2,0,0,1,53000.0,425.0,3.0,0,10
Volvo,95000,2,0,0,1,18000.0,250.0,2.0,0,7
Subaru,94000,2,2,0,1,19500.0,300.0,2.5,0,20
BMW,45076,2,0,0,0,57998.0,360.47076923076924,3.0,0,5
Cadillac,110000,2,0,0,1,11000.0,272.0,2.0,0,11
Land,49083,2,0,0,0,21590.0,381.03921568627453,2.0,0,9
Genesis,63500,2,3,0,1,27500.0,420.0,5.0,0,8
Mercedes-Benz,21500,2,0,1,1,18000.0,268.0,3.5,1,16
Kia,68166,2,0,0,0,20818.0,230.45454545454547,1.6,0,6
Toyota,53607,2,0,1,0,31853.0,264.74691358024694,3.5,1,7
Mercedes-Benz,16813,0,3,0,0,45900.0,188.0,3.0,1,6
BMW,18200,2,0,1,1,29500.0,228.0,2.0,0,5
Audi,16400,2,0,0,1,42800.0,292.0,2.0,0,7
Toyota,7000,3,0,0,1,75500.0,437.0,3.4,1,3
Audi,8497,2,0,0,0,52900.0,318.83125,3.0,1,3
Audi,68000,2,3,1,1,20000.0,252.0,2.0,0,9
BMW,83000,2,0,0,1,8995.0,230.0,3.0,0,18
Audi,25000,2,0,0,1,50000.0,354.0,3.0,1,7
BMW,125450,2,2,0,1,17200.0,320.0,3.0,0,11
Kia,9822,2,0,0,0,50998.0,230.45454545454547,3.8,1,2
Chevrolet,144000,2,0,0,1,22000.0,323.0,6.0,0,17
GMC,30900,2,0,0,1,27654.0,341.013698630137,2.5,0,5
BMW,2492,2,0,0,0,41598.0,360.47076923076924,2.0,0,4
Audi,126760,2,0,1,1,14000.0,211.0,2.0,0,10
Subaru,100680,2,0,0,1,20500.0,256.0,3.6,0,8
Mitsubishi,90400,2,0,0,1,4495.0,140.0,2.4,0,24
Hyundai,26895,2,0,0,0,29800.0,246.7,2.5,0,3
Dodge,134000,2,0,1,1,10500.0,390.0,5.7,0,14
Ford,84352,3,1,1,1,10000.0,188.0,2.0,0,10
Toyota,19000,3,0,0,1,71000.0,437.0,3.4,1,3
Land,115550,2,0,0,1,17500.0,240.0,2.0,0,10
Lincoln,191775,1,0,1,1,9750.0,310.0,5.4,0,16
Ford,923,2,0,0,0,46998.0,335.81672025723475,3.5,0,2
Mercedes-Benz,124630,0,0,0,1,75000.0,188.0,3.0,1,8
BMW,73500,2,0,0,1,32000.0,320.0,3.0,0,7
Acura,120000,2,0,1,1,5500.0,140.0,1.8,0,27
Audi,73837,2,0,0,1,36340.0,318.83125,3.0,1,6
BMW,29500,2,3,0,1,40999.0,560.0,4.4,0,11
Volkswagen,13613,2,0,0,0,29798.0,208.47058823529412,2.0,0,4
INFINITI,143250,2,3,0,1,11500.0,328.0,3.7,1,10
